
2024/07/15 (20:12:09) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/15 (20:59:15) | ===> btop++ v.1.3.2
2024/07/15 (20:59:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/15 (21:17:53) | ===> btop++ v.1.3.2
2024/07/15 (21:17:53) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/15 (21:18:44) | ===> btop++ v.1.3.2
2024/07/15 (21:18:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/15 (21:18:46) | ===> btop++ v.1.3.2
2024/07/15 (21:18:46) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (16:57:36) | ===> btop++ v.1.3.2
2024/07/16 (16:57:36) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (17:05:28) | ===> btop++ v.1.3.2
2024/07/16 (17:05:28) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/07/16 (17:22:29) | ERROR: Stall in Runner thread, restarting!

2024/07/16 (17:31:04) | ===> btop++ v.1.3.2
2024/07/16 (17:31:04) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (21:03:21) | ===> btop++ v.1.3.2
2024/07/16 (21:03:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/16 (22:40:28) | ===> btop++ v.1.3.2
2024/07/16 (22:40:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (22:27:11) | ===> btop++ v.1.3.2
2024/07/18 (22:27:11) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (22:27:29) | ===> btop++ v.1.3.2
2024/07/18 (22:27:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (22:27:33) | ===> btop++ v.1.3.2
2024/07/18 (22:27:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (22:28:15) | ===> btop++ v.1.3.2
2024/07/18 (22:28:15) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (22:28:31) | ===> btop++ v.1.3.2
2024/07/18 (22:28:31) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/18 (23:32:08) | ===> btop++ v.1.3.2
2024/07/18 (23:32:08) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/20 (00:35:19) | ===> btop++ v.1.3.2
2024/07/20 (00:35:19) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/21 (14:54:22) | ===> btop++ v.1.3.2
2024/07/21 (14:54:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/21 (15:07:47) | ===> btop++ v.1.3.2
2024/07/21 (15:07:47) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/21 (15:46:48) | ===> btop++ v.1.3.2
2024/07/21 (15:46:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/22 (20:36:49) | ===> btop++ v.1.3.2
2024/07/22 (20:36:49) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/22 (20:56:00) | ===> btop++ v.1.3.2
2024/07/22 (20:56:00) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/22 (23:10:34) | ===> btop++ v.1.3.2
2024/07/22 (23:10:34) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/23 (01:10:44) | ===> btop++ v.1.3.2
2024/07/23 (01:10:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/23 (21:42:44) | ===> btop++ v.1.3.2
2024/07/23 (21:42:44) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/23 (22:57:28) | ===> btop++ v.1.3.2
2024/07/23 (22:57:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/07/24 (22:16:43) | ===> btop++ v.1.3.2
2024/07/24 (22:16:43) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/03 (21:25:24) | ===> btop++ v.1.3.2
2024/08/03 (21:25:24) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/06 (21:56:30) | ===> btop++ v.1.3.2
2024/08/06 (21:56:32) | ERROR: Stall in Runner thread, restarting!
2024/08/06 (21:56:39) | ERROR: Stall in Runner thread, restarting!

2024/11/26 (13:09:10) | ===> btop++ v.1.4.0
2024/11/26 (13:09:10) | ERROR: Stall in Runner thread, restarting!
